Szenario;Anwendungsprofil
"Du dokumentierst ein Musikstück, das von mehreren Künstlern gemeinsam produziert wurde. Auf dem Cover wird die Zusammenarbeit mit Begriffen wie ""feat"", ""meets"" oder ""vs"" beschrieben. Du möchtest wissen, wie diese Begriffe korrekt im Zitiernamen erfasst werden sollen, um den Metadatenstandards zu entsprechen. Du fragst den Chatbot nach den relevanten Regeln.";HFDB
Du bearbeitest Filmmusik, in dem ein klassisches Musikstück verwendet wurde, das ursprünglich nicht für diesen Film komponiert wurde. Du möchtest wissen, wie du dieses Werk korrekt erfassen kannst, um die Verbindung zwischen dem Film und der Musik herzustellen. Du fragst den Chatbot nach den entsprechenden Erfassungsregeln.;HFDB
Du dokumentierst den Soundtrack einer Musical-Verfilmung und möchtest sicherstellen, dass du alle relevanten Informationen korrekt erfasst. Du bist dir unsicher, welche spezifischen Regeln für die Erfassung eines solchen Soundtracks gelten. Du fragst den Chatbot nach den entsprechenden Vorgaben.;HFDB
Du dokumentierst eine Hörspielproduktion, die auf einem Roman basiert. Du möchtest die literarische Vorlage in den Metadaten angeben, bist dir aber unsicher, wie dies korrekt zu tun ist. Du fragst den Chatbot nach den Regeln zur Erfassung von literarischen Vorlagen.;HFDB
Du dokumentierst ein Musikstück, bei dem mehrere Künstler mitgewirkt haben. Du möchtest eine oder mehrere Personen als repräsentative InterpretInnen kennzeichnen, bist dir aber unsicher, welche Kriterien dafür gelten. Du fragst den Chatbot nach den entsprechenden Regeln.;HFDB
Du bearbeitest die Metadaten eines Musiktitels, der ein Sample eines anderen Musikstücks enthält. Du möchtest sicherstellen, dass du das Sample korrekt erfasst und die Verbindung zum Originalstück herstellst. Du fragst den Chatbot nach den Erfassungsregeln für Samples.;HFDB
Du dokumentierst ein Album, das einen Hidden Track enthält, der nicht auf der Trackliste angegeben ist. Du möchtest wissen, ob und wie du diesen Hidden Track in den Metadaten erfassen sollst. Du fragst den Chatbot nach den entsprechenden Vorgaben.;HFDB
Du dokumentierst ein Album, das einen Bonus Track enthält. Du bist dir unsicher, ob dieser Bonus Track in der HFDB erfasst werden soll und, falls ja, wie er korrekt zu erfassen ist. Du fragst den Chatbot nach den entsprechenden Regeln.;HFDB
Du möchtest bei der Erfassung einer mitwirkenden Person oder Gruppe in der HFDB angeben, aus welchem Land diese stammt. Du bist dir unsicher, welches Feld oder welche Funktion dafür vorgesehen ist. Du fragst den Chatbot nach der korrekten Vorgehensweise.;HFDB
Du bearbeitest die Metadaten eines Musiktitels, der von einem Film inspiriert wurde, und möchtest diese Verbindung in der HFDB dokumentieren. Du fragst den Chatbot, wie du diese Beziehung korrekt angeben kannst.;HFDB
"Du dokumentierst ein Hiphop-Album und möchtest die Funktion ""Producer"" korrekt erfassen. Da diese Funktion nicht mit der HFDB-Funktion ""Produktion Industrie"" identisch ist, fragst du den Chatbot, wie du ""Producer"" in der HFDB angeben kannst.";HFDB
Du erfasst die Mitwirkenden eines Musikstücks, darunter auch einen Klangkörper. Du bist dir unsicher, ob du die englische Kurzbezeichnung oder die ausgeschriebene Bezeichnung verwenden sollst. Du fragst den Chatbot nach den entsprechenden Regeln.;HFDB
" Du dokumentierst eine englische Version des Liedes ""Stille Nacht"" mit dem Titel ""Silent Night"". Du möchtest wissen, wie du den Originaltitel, die Textdichtung und die Urheber:innen des englischen Textes korrekt erfassen sollst. Du fragst den Chatbot nach den spezifischen Vorgaben.";HFDB
Du dokumentierst ein Album, das zwei P-Daten (Produktionsdaten) enthält. Da in der HFDB nur ein P-Datum erfasst werden kann, fragst du den Chatbot, welches P-Datum du angeben sollst und wo du das zweite P-Datum dokumentieren kannst.;HFDB
Du dokumentierst ein Musikstück, das auf einem Bibeltext in der Vulgata-Fassung basiert. Du möchtest wissen, wie du diese Fassung in der Bezugskreation korrekt angeben kannst. Du fragst den Chatbot nach den entsprechenden Regeln.;HFDB
"Du dokumentierst ein Album, das als ""Digitally Remastered"" gekennzeichnet ist. Du möchtest wissen, wie du diese Information in den Metadaten korrekt angeben kannst. Du fragst den Chatbot nach den entsprechenden Vorgaben.";HFDB
"Du dokumentierst eine Audio-Kreation und bist dir unsicher, ob du sie als ""Version"" oder ""Fassung"" klassifizieren sollst. Du möchtest wissen, wie sich diese beiden Begriffe unterscheiden und welche Kriterien für die jeweilige Klassifikation gelten.";HFDB
Du bearbeitest die Metadaten einer instrumentalen Bearbeitung eines Vokalstücks und fragst dich, ob der Textanfang und der Textdichter des ursprünglichen Vokalstücks in der HFDB erfasst werden dürfen, insbesondere wenn der Textdichter seit mehr als 70 Jahren verstorben ist.;HFDB
Du dokumentierst ein Musikstück, bei dem ein attacca-Übergang zwischen zwei Korpussen vorkommt. Du möchtest wissen, wie dieser Übergang korrekt in der HFDB erfasst wird.;HFDB
"Du dokumentierst ein Werk, das keine Werkverzeichnisnummer oder Opuszahl besitzt, und möchtest die Nummer in der Struktur ""Korpus + Werk-Gesamttitel"" korrekt angeben. Du fragst nach den entsprechenden Regeln.";HFDB
 Du dokumentierst ein Werk der Alten Musik, bei dem ein Herausgeber eine wichtige Rolle spielt. Da dies in anderen Musikgenres untypisch ist, fragst du, wie der Herausgeber in der HFDB korrekt erfasst werden soll.;HFDB
Du dokumentierst ein Musikstück, das eine Kadenz enthält, die von einem anderen Urheber stammt. Du möchtest wissen, ob dieser Urheber als Komponist, Bearbeiter oder nur in einer Bemerkung erfasst werden soll.;HFDB
Du entdeckst, dass ein Booklet falsche Informationen enthält, und möchtest diese Korrekturen in der HFDB dokumentieren. Du fragst, in welchem Feld solche Bemerkungen erfasst werden sollen.;HFDB
Du möchtest längere Texte in der HFDB eingeben, bist dir aber unsicher, welches Feld für welchen Zweck verwendet werden soll. Du fragst nach einer Anleitung zur korrekten Nutzung dieser Felder.;HFDB
Du dokumentierst ein Audiofile, das zunächst als Podcast veröffentlicht wurde und später im linearen Programm gesendet wird. Du fragst, ob in diesem Fall ein ESD (Episoden-Sendedatum) oder ein WSD (Werk-Sendedatum) vergeben werden muss.;HFDB
Du möchtest einer Kreation in der HFDB zusätzliche Informationen hinzufügen und überlegst, ob du Freie Sachdeskriptoren oder Tags verwenden sollst. Du fragst nach dem Unterschied zwischen diesen beiden Konzepten.;HFDB, FESAD, NDB
"Du dokumentierst eine Kompilation, die den Wert ""Magazin"" enthält, und fragst dich, ob dieser Wert auch auf der Beitragsebene (Korpus) angegeben werden muss.";HFDB
"Du dokumentierst einen Tonträger und möchtest die Veröffentlichungsart korrekt angeben. Du fragst dich, ob die Veröffentlichung als ""Maxi"" oder ""Single"" klassifiziert werden soll und welche Kriterien dabei zu beachten sind, wie z. B. die Anzahl der enthaltenen Stücke oder die Wiedergabedauer.";HFDB
"Du bearbeitest die Metadaten eines Tonträgers und bist unsicher, ob es sich um eine ""Extended Play"" (EP) oder ein ""Album"" handelt. Du möchtest die Unterschiede zwischen diesen beiden Veröffentlichungsarten verstehen, um die richtige Klassifikation vorzunehmen.";HFDB
"Du siehst in den Metadaten eines Audiomedienobjekts das Feld ""P-Datum"" und möchtest wissen, was dieses Datum genau beschreibt und wie es sich von anderen Datumsangaben unterscheidet.";HFDB
" Du stößt in den Metadaten eines Audiomedienobjekts auf das Feld ""C-Datum"" und möchtest verstehen, was dieses Datum bedeutet und wie es erfasst wird.";HFDB
"Du dokumentierst eine Veröffentlichung, die verschiedene Titel von unterschiedlichen Künstlern enthält, und fragst dich, ob diese als ""Sampler"" klassifiziert werden sollte. Du möchtest die genauen Kriterien für diese Bezeichnung kennen.";HFDB
Du dokumentierst einen selbstveröffentlichten Tonträger oder eine digitale Veröffentlichung und möchtest wissen, welcher Labelcode in diesem Fall korrekt zu vergeben ist.;HFDB, NDB
"Du erfasst die Mitwirkenden eines Musikstücks und bist unsicher, ob du die Funktion ""Mitwirkung"" oder ""Musikalische Darbietung"" verwenden sollst. Du möchtest die Kriterien für die Auswahl der passenden Funktion verstehen.";HFDB
Du arbeitest mit der Konfektionierung eines Audiomedienobjekts und möchtest wissen, welche Informationen in der Cue-Punkte-Liste erfasst werden. Außerdem fragst du dich, wann Timecodes als Cue-Punkte und wann als Segmente in der Hierarchie angesetzt werden.;HFDB
Du erfasst fremdsprachige Namen in der HFDB und möchtest wissen, ob es spezielle Regeln oder Abweichungen bei der Ansetzung im Vergleich zu deutschen Namen gibt.;NDB
Du dokumentierst eine mehrteilige Kreation, wie eine Serie oder ein Hörspiel mit mehreren Staffeln und Episoden, und möchtest wissen, wie diese korrekt angesetzt und im Titel dargestellt werden sollen.;
HFDB, FESAD;
"Du dokumentierst die Mitwirkung einer Person an einer Audiokreation und bist unsicher, ob du die Rolle als ""Moderator"", ""Moderation"" oder ""Moderation Show"" angeben sollst. Du möchtest die Unterschiede zwischen diesen Werten verstehen, um die passende Rolle auszuwählen.";HFDB, FESAD, NDB
Du möchtest in der HFDB festhalten, dass eine Person durch einen Faktencheck oder eine Recherche zur Erstellung einer Audiokreation beigetragen hat. Du fragst dich, welche Rolle oder Funktion dafür in der Dokumentation verwendet werden sollte.;HFDB, FESAD
Du dokumentierst ein Konzert oder eine musikalische Darbietung, bei der eine Zugabe gespielt wurde. Du möchtest wissen, wie diese Zugabe in der HFDB korrekt erfasst werden kann.;HFDB
